Execution_Rep.csv
Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction Time
ord1,aa13,Rose,2,0,100,55.00,,20231213-163925.004
ord2,aa14,Rose,2,0,100,45.00,,20231213-163925.004
ord3,aa15,Rose,1,0,100,35.00,,20231213-163925.004
ord4,aa13,Rose,2,0,100,55.00,,20231213-163925.004
ord5,aa14,Rose,2,0,100,45.00,,20231213-163925.004
ord6,aa15,Rose,1,3,100,45.00,,20231213-163925.004
ord2,aa14,Rose,2,2,100,45.00,,20231213-163925.004
ord6,aa15,Rose,1,2,100,45.00,,20231213-163925.004
ord5,aa14,Rose,2,2,100,45.00,,20231213-163925.004
ord7,aa13,Rose,1,2,100,55.00,,20231213-163925.004
ord1,aa13,Rose,2,2,100,55.00,,20231213-163925.004
ord8,aa14,Rose,1,2,100,55.00,,20231213-163925.004
ord4,aa13,Rose,2,2,100,55.00,,20231213-163925.004
ord9,aa15,Rose,2,3,100,35.00,,20231213-163925.004
ord3,aa15,Rose,1,2,100,35.00,,20231213-163925.004
ord10,aa13,Rose,1,2,100,1.00,,20231213-163925.004
ord9,aa15,Rose,2,3,100,1.00,,20231213-163925.004
ord11,aa14,Rose,1,2,100,1.00,,20231213-163925.004
ord9,aa15,Rose,2,2,100,1.00,,20231213-163925.004
ord12,aa15,Rose,2,0,300,1.00,,20231213-163925.005
ord13,aa16,Rose,1,2,100,1.00,,20231213-163925.005
ord12,aa15,Rose,2,3,100,1.00,,20231213-163925.005
ord14,aa13,,1,1,100,55.00,Invalid instrument,20231213-163925.005
ord15,aa14,Rose,3,1,100,65.00,Invalid side,20231213-163925.005
ord16,aa15,Lavender,2,1,101,1.00,Invalid size,20231213-163925.005
ord17,aa16,Tulip,1,1,100,-1.00,Invalid price,20231213-163925.005
ord18,aa17,Orchid,1,1,1000,-1.00,Invalid price,20231213-163925.005
ord19,aa13,Rose,2,0,100,55.00,,20231213-163925.005
ord20,aa14,Rose,2,0,100,45.00,,20231213-163925.005
ord21,aa15,Rose,1,2,100,1.00,,20231213-163925.005
ord12,aa15,Rose,2,3,100,1.00,,20231213-163925.005
ord22,aa13,Rose,2,0,100,55.00,,20231213-163925.005
ord23,aa14,Rose,2,0,100,45.00,,20231213-163925.005
ord24,aa15,Rose,1,3,100,1.00,,20231213-163925.005
ord12,aa15,Rose,2,2,100,1.00,,20231213-163925.005
ord24,aa15,Rose,1,2,100,45.00,,20231213-163925.005
ord20,aa14,Rose,2,2,100,45.00,,20231213-163925.005
ord25,aa13,Rose,1,2,100,45.00,,20231213-163925.005
ord23,aa14,Rose,2,2,100,45.00,,20231213-163925.005
ord26,aa14,Rose,1,2,100,55.00,,20231213-163925.005
ord19,aa13,Rose,2,2,100,55.00,,20231213-163925.005
ord27,aa15,Rose,2,0,300,1.00,,20231213-163925.005
ord28,aa13,Rose,1,2,100,1.00,,20231213-163925.005
ord27,aa15,Rose,2,3,100,1.00,,20231213-163925.005
ord29,aa14,Rose,1,2,100,1.00,,20231213-163925.005
ord27,aa15,Rose,2,3,100,1.00,,20231213-163925.005
ord30,aa15,Rose,2,0,300,1.00,,20231213-163925.005
ord31,aa16,Rose,1,2,100,1.00,,20231213-163925.005
ord27,aa15,Rose,2,2,100,1.00,,20231213-163925.005
ord32,aa13,,1,1,100,55.00,Invalid instrument,20231213-163925.005
ord33,aa14,Rose,3,1,100,65.00,Invalid side,20231213-163925.005
ord34,aa15,Lavender,2,1,101,1.00,Invalid size,20231213-163925.005
ord35,aa16,Tulip,1,1,100,-1.00,Invalid price,20231213-163925.005
ord36,aa17,Orchid,1,1,1000,-1.00,Invalid price,20231213-163925.005
ord37,aa13,Rose,2,0,100,55.00,,20231213-163925.005
ord38,aa14,Rose,2,0,100,45.00,,20231213-163925.005
ord39,aa15,Rose,1,2,100,1.00,,20231213-163925.005
ord30,aa15,Rose,2,3,100,1.00,,20231213-163925.005
ord40,aa13,Rose,2,0,100,55.00,,20231213-163925.005
ord41,aa14,Rose,2,0,100,45.00,,20231213-163925.005
ord42,aa15,Rose,1,2,200,1.00,,20231213-163925.005
ord30,aa15,Rose,2,2,200,1.00,,20231213-163925.005
ord43,aa13,Rose,1,2,100,45.00,,20231213-163925.005
ord38,aa14,Rose,2,2,100,45.00,,20231213-163925.005
ord44,aa14,Rose,1,2,100,45.00,,20231213-163925.005
ord41,aa14,Rose,2,2,100,45.00,,20231213-163925.005
ord45,aa15,Rose,2,0,300,1.00,,20231213-163925.005
ord46,aa13,Rose,1,2,100,1.00,,20231213-163925.005
ord45,aa15,Rose,2,3,100,1.00,,20231213-163925.005
ord47,aa14,Rose,1,2,100,1.00,,20231213-163925.005
ord45,aa15,Rose,2,3,100,1.00,,20231213-163925.006
ord48,aa15,Rose,2,0,300,1.00,,20231213-163925.006
ord49,aa16,Rose,1,2,100,1.00,,20231213-163925.006
ord45,aa15,Rose,2,2,100,1.00,,20231213-163925.006
ord50,aa13,,1,1,100,55.00,Invalid instrument,20231213-163925.006
ord51,aa14,Rose,3,1,100,65.00,Invalid side,20231213-163925.006
ord52,aa15,Lavender,2,1,101,1.00,Invalid size,20231213-163925.006
ord53,aa16,Tulip,1,1,100,-1.00,Invalid price,20231213-163925.006
ord54,aa17,Orchid,1,1,1000,-1.00,Invalid price,20231213-163925.006
ord55,aa13,Rose,2,0,100,55.00,,20231213-163925.006
ord56,aa14,Rose,2,0,100,45.00,,20231213-163925.006
